,AtomizerFlow,ExhaustFlowDelta,SheathFlow,PrintSpeed,ZOffset,NumLayers,SlideCoating,StageTemperature,TubingMaterial,TubingID,PrintTime,SeasoningTime,SeasoningAtomizerFlow,SeasoningExhaustDelta,Completed,AmbientTemperature,Humidity,InkAge,Material,HighBPSolvent,LowBPSolvent,Ratio,Viscosity,Density,BatchVolume,SuppliedVolume,AverageParticleDiameter,MachineID,AtomizerType,MistTubeLength,PrintID,Notes
26,964.3686384391963,25.422588138738966,56.38180457647027,2.844297433399189,5.6597227850774825,1,Glass,22,Polyethylene,0.125,5606,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
27,985.2367481909976,24.02188561555713,52.0313966942778,3.177029650731976,4.449145884374119,1,Glass,22,Polyethylene,0.125,5767,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
28,998.1338981120117,24.467018787325312,30.253936937255094,1.9335892359952227,4.59288549715793,1,Glass,22,Polyethylene,0.125,5928,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
29,1011.519109540227,21.03034712819875,53.80097463043378,3.289385206535886,3.6000271219205464,1,Glass,22,Polyethylene,0.125,6089,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
30,1025.7562993933127,28.997196722289093,53.30387515865506,3.9841887331113064,3.833981089246491,1,Glass,22,Polyethylene,0.125,6249,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
31,1034.1301830750285,24.578865918252486,37.933491536486514,0.6977848719431137,4.881099003004747,1,Glass,22,Polyethylene,0.125,6409,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
32,1045.292662192983,28.642459302608472,54.84710099419751,1.3433206202662409,4.786835946916161,1,Glass,22,Polyethylene,0.125,6570,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
33,1060.5925588641958,22.96338141605133,54.927658673623526,1.3208652196178527,4.086122698804383,1,Glass,22,Polyethylene,0.125,6731,1472.5640001296997,N/A,N/A,True,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
34,1082.6195378535433,21.6623690160381,50.02652791497585,4.672930957191708,4.211969756659704,1,Glass,22,Polyethylene,0.125,0,1472.5640001296997,N/A,N/A,False,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
35,1091.3294915807305,25.534755824865325,34.25978942979755,0.7415808441363051,3.1260170308187747,1,Glass,22,Polyethylene,0.125,0,1472.5640001296997,N/A,N/A,False,75,59,N/A,N/A,N/A,N/A,?:?:?,N/A,N/A,N/A,N/A,N/A,Qi,Pneumatic,Pneumatic,????,LHS Initialized Test Line
