PrintNum,Slide,Row,RowPos,Capture,AtomizerFlow,ExhaustFlow,ExhaustFlowDelta,SheathFlow,Speed,NumObjects,RSS,Roughness,NormalizedRoughness,AvgWidth,WidthSD,NormalizedWidthSD,MinWidth,NormalizedMinWidth,Ten90Range,AvgCurv,Error,QualityScore1,QualityScore2,QualityScore3,Pass
21,1,3,5,24,650,670,-20,80,4.5,1,13.7498758219479,5.67033211693123,0.242045847389816,23.4266862170088,4.18417690798746,0.178607288680444,14,0.597609063028103,10,0.0504595424534731,0,40.8398643392413,52.5662294888841,28.8493442333261,0
22,1,3,6,25,650,670,-20,80,5.5,1,10.0748381066505,4.91180703066997,0.203144475131408,24.1788856304985,3.63173514668487,0.150202751366833,12,0.49630078835658,9,0.0481664823032526,0,43.406621280032,55.1720554099662,32.7580831149494,0
23,1,3,7,26,650,670,-20,80,6.5,1,12.2580554234652,5.37859868192851,0.254048362149404,21.1715542521994,3.75787905492336,0.17749660748374,12,0.566798254726782,9,0.0530861365151955,0,39.5821013682152,53.1116909785236,29.6675364677855,0
24,1,3,8,27,650,670,-20,80,7.5,1,13.3140546853356,6.00367166127267,0.3050061385783,19.6837732160313,3.97832767453262,0.202112045839489,7,0.35562287388573,11,0.0621410108511047,0,33.8238922824732,49.3585708011897,24.0378562017845,0
25,1,4,1,28,655,670,-15,80,0.5,1,2.66400001346959,2.68118179238226,0.0472485460945376,56.7463343108504,2.01040660623951,0.0354279554909524,53,0.933981034081807,5,0.0354146924366741,0,55.5212560071153,64.8270805003102,47.2406207504654,1
26,1,4,2,29,655,670,-15,80,1.5,1,3.71770725872461,3.04282442244795,0.06102112021023,49.8651026392962,2.39852933021368,0.0481003588333841,44,0.88238061632557,6,0.0345622840497009,0,55.3138400334803,63.8174742160541,45.7262113240812,1
27,1,4,3,30,655,670,-15,80,2.5,1,5.83163639171855,3.81561619410452,0.0827196610699525,46.1270772238514,2.89531785602759,0.0627682920809575,39,0.845490378909892,8,0.0497166858353421,0,47.0032424782811,57.1100452014607,35.665067802191,0
28,1,4,4,31,655,670,-15,80,3.5,1,7.0865460451072,4.06326054987478,0.0938702515163647,43.2859237536657,3.21820422552941,0.0743475926225758,34,0.78547474679042,7,0.0425322676051705,0,50.016486566286,58.4285633798451,37.6428450697677,0
29,1,4,5,32,655,670,-15,80,4.5,1,6.62628643367052,4.03707494011165,0.101018214508089,39.9638318670577,3.25353473817322,0.0814119814385248,30,0.750678766235355,8,0.0442376545795063,0,48.8105736383206,57.7423326795872,36.6134990193807,0
30,1,4,6,33,655,670,-15,80,5.5,1,8.43810578467309,4.29695975935688,0.113680299829887,37.7986314760508,3.56737705538982,0.0943784712853983,26,0.687855591186511,9,0.0449040033768464,0,47.8290747473069,56.4740753564185,34.7111130346277,0
31,1,4,7,34,655,670,-15,80,6.5,1,7.17353598901723,4.19711828339206,0.117516784692296,35.7150537634409,3.78382068097357,0.1059447006866,24,0.671985548697877,9,0.048612360525538,0,45.396584702901,54.5164775549088,31.7747163323632,0
32,1,4,8,35,655,670,-15,80,7.5,1,7.8122030298827,4.48498894918344,0.134537832302573,33.336265884653,3.54383303812856,0.106305638741621,22,0.659941940591737,9,0.0514830371962741,0,43.9431994647819,54.3595441408134,31.5393162112202,0
33,1,5,1,36,660,670,-10,80,0.5,1,0.609568538559371,0.852773310629697,0.0118124801534695,72.1925708699902,1.17848003660924,0.016324117875391,68,0.941925175686837,2.90000000000009,0.0180612401549529,0,65.153174028754,73.3846531596516,60.0769797394773,1
34,1,5,2,37,660,670,-10,80,1.5,1,2.13646882360908,2.2948298613799,0.0369589015686779,62.0913978494624,2.30041014756443,0.0370487736987604,56,0.901896268075158,6,0.0343183412732899,0,55.988390678417,64.225852417022,46.3387786255329,1
35,1,5,3,38,660,670,-10,80,2.5,1,2.45302936651235,1.99194193376388,0.0338993312190653,58.7605083088954,2.32185840239283,0.0395139264314591,51,0.867929864253394,6,0.0325304466741395,0,56.7590803413573,64.7503231006441,47.1254846509661,1
36,1,5,4,39,660,670,-10,80,3.5,1,3.963043842713,3.2382972664876,0.0589179238376015,54.9628543499511,3.05349028163628,0.0555555259593062,48,0.873317089654437,7,0.0390751912170674,0,52.684628093501,60.1299686555233,40.1949529832849,1
37,1,5,5,40,660,670,-10,80,4.5,1,3.48463735961875,2.60482987093526,0.0506219786847791,51.4565004887586,2.75925901107885,0.0536231376963083,44,0.855091185410334,7,0.0368265717442075,0,53.9055572430809,61.860279381668,42.790419072502,1
38,1,5,6,41,660,670,-10,80,5.5,1,4.05960856954591,3.02171081737818,0.0628614166990926,48.069403714565,2.85716571586043,0.0594383432094605,38,0.790523640061007,7,0.0430554412890573,0,50.5003621949983,59.4576338507794,39.1864507761692,0
39,1,5,7,42,660,670,-10,80,6.5,1,6.26421025985141,3.68357398600517,0.0815048706078488,45.1945259042033,3.70716472039221,0.0820268527265916,34,0.752303499589047,9,0.0469486322379632,0,47.4243412446888,55.3265735193716,32.9898602790573,0
40,1,5,8,43,660,670,-10,80,7.5,1,7.98919461455283,4.49216457451252,0.100477394635057,44.708211143695,4.22883350211951,0.0945874011493722,32,0.715752189170575,11,0.0491818734816686,0,45.6796932016971,52.8432638323788,29.2648957485681,0
41,1,6,1,44,665,670,-5,80,0.5,1,1.88458122039553,2.24973507661991,0.0280613414868095,80.1720430107527,2.2161268069664,0.0276421396255198,75,0.935488197424893,5,0.0256361658711211,0,60.7998100831635,67.4008553530716,51.1012830296074,1
42,1,6,2,45,665,670,-5,80,1.5,1,2.63338898348317,2.7373517599608,0.0377578487216328,72.4975562072336,2.57232665900047,0.0354815637046785,66,0.910375514056496,7,0.0329199707236857,0,56.7659364529232,63.7855875621032,45.6783813431548,1
43,1,6,3,46,665,670,-5,80,2.5,1,3.5394613761422,2.78508144542579,0.0409185520314031,68.064027370479,2.94170022311478,0.0432196027293951,56,0.82275472321358,7,0.0287427992872897,0,58.4676202198854,63.9467328271875,45.9200992407813,1
44,1,6,4,47,665,670,-5,80,3.5,1,2.93273443477495,2.58229060064272,0.0382406508994217,67.5273704789834,2.74240157215748,0.0406117038573418,61,0.903337410702007,6.89999999999998,0.0369838545044284,0,54.4774875549187,61.8640432579989,42.7960648869984,1
45,1,6,5,48,665,670,-5,80,4.5,1,4.38178087374666,3.38625064379481,0.0523904389434918,64.6348973607038,3.27547516689136,0.0506765741208209,57,0.881876545450421,9,0.0383022074535048,0,53.3150675672065,59.6476802925272,39.4715204387908,1
46,1,6,6,49,665,670,-5,80,5.5,1,4.67630301807248,3.14263532114255,0.0507364622982535,61.9403714565005,3.35311593348929,0.0541345790256378,52,0.839517083563481,8,0.0409912274926776,0,51.7976573023793,58.4925377241432,37.7388065862148,0
